 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Headline,Link pointing to,Bottom-text
Cat,"cattery, catrescue, rescuedcat, kitten, kitty, meow, feline","cat, cats","Catherine,catwalk, catfish, cathayinn, catastrophes, cations, catlin, catcare, cattaneo, delicate, catch, catgirls, cate, catca, catanduva, pussycat, catouche, catheryn, cather, cathe, wildcats, ",Do you like cats?,https://www.ultimatelysocial.com/Cat-themed-icons/?utm_source=any_settings_page&utm_campaign=Cat_icons&utm_medium=banner,See all cat-themed-icons >
Horse,"equine, gallop, ponies, cavallo","horse, horses, pony","horseengine, seahorses, seahorse, seapony, seaponies, horseengines, ponytail, horsemanship, horseman, horsetrading, horseshoes, horseshoeing, horseshoe, horseshow",Do you like horses?,https://www.ultimatelysocial.com/Horse-themed-icons/?utm_source=any_settings_page&utm_campaign=Horse_icons&utm_medium=banner,See all horse-themed-icons >
Teeth,"dentist, teeth, dental",tooth,"bluetooth, gadgetooth, toothache, toothbrush, toothpick, toothpicks, toothfairy",You got a thing with teeth?,https://www.ultimatelysocial.com/Teeth-shaped-icons/?utm_source=any_settings_page&utm_campaign=Teeth_icons&utm_medium=banner,See all teeth-themed-icons >
Beer,"beer, brewery, oktoberfest, barley, beerfest, brewers, brewer","brew, stout, malt, brews, stouts, malts","hebrew, hebrews, malta, maltsevini, maltby, maltese, maltan, malter, maltepe, malton",You like beer?,https://www.ultimatelysocial.com/Beer-themed-icons/?utm_source=any_settings_page&utm_campaign=Beer_icons&utm_medium=banner,See all beer-themed-icons >
Photography,"photography, snapshot, fotografia","camera, photo, snap, cameras, photos, snaps, foto, film, analog","cameracivile, cameradelcommercio, snapdragon, snappy, rollcamera, snapchatters, snapchat, snaphappy, snapdata, sugarsnap, sugarsnaps, whippersnappers, whippersnapper, snape, snapscene, snapcode, snapcodes, snapcell",You like photography?,https://www.ultimatelysocial.com/Photography-themed-icons/?utm_source=any_settings_page&utm_campaign=Photography_icons&utm_medium=banner,See all photography-themed-icons >
Realestate,"realestate, realtor, property, immoveables, accomodation, homes, properties, homebuyer, housebuyer","housing, housings, houses, house, casa ","bakehouse, casale, casablanca, casalpoli, lighthouse, powerhouse, clockhouse, guesthouse, warehouse, playhouse, treehouse, gorehouse, greenhouse, birdhouse, townhouse",Are you into real estate?,https://www.ultimatelysocial.com/Realestate-themed-icons/?utm_source=any_settings_page&utm_campaign=Realestate_icons&utm_medium=banner,See all real-estate-themed-icons >
Cooking,"cooking, recipe, chef, baking, roasting, grilling, frying, restaurant, culinary, culinaria, salad, kitchen, food, foods, recipes, pizza, pizzaria, pizzeria, chefs, breakfast, icecream ","cook, bake, grill, fry, cooks, bakes, grills, frys, dine, pizze, resto","grillo, grilla, noureddine, pizzetto, restoring, restored",You like cooking?,https://www.ultimatelysocial.com/Cooking-themed-icons/?utm_source=any_settings_page&utm_campaign=Cooking_icons&utm_medium=banner,See all cooking-themed-icons >
Drinking,"drinking, winery, softdrinks, booze, guzzle, bartender, bartenders, liquor, liquors","drunk, drink, drunks, drinks, wine","swine, swines",You like drinks?,https://www.ultimatelysocial.com/Drinking-themed-icons/?utm_source=any_settings_page&utm_campaign=Drinking_icons&utm_medium=banner,See all drinking-themed-icons >
Travel,"travel, journey, trekking, voyage, traveler, tourist, tourism, maps, tourists, tours, tour, journeys, suitcase, suitcases","trek, trip, treks, trips, hike, hiking","startrek, trekstar, strip, stripper, trippy, stripping, tripwire, strippers",You like travelling?,https://www.ultimatelysocial.com/Travel-themed-icons/?utm_source=any_settings_page&utm_campaign=Travel_icons&utm_medium=banner,See all travel-themed-icons >
Music,"music, sound, rhythm, guitar, singing, audio, piano, violin, saxophone, synthesizer","drums, cello, celloes, song, songs","eardrums, balisong, thaisong",You like music?,https://www.ultimatelysocial.com/Music-themed-icons/?utm_source=any_settings_page&utm_campaign=Music_icons&utm_medium=banner,See all music-themed-icons >
Dogs,"puppy, pups, puppies, pooch, puppies, canine","pup, dog, dogs","puppet, puppets, dogana, underdog, underdogs, dogtown, dogwoods, doogwood, hotdog, hotdogs ",You like dogs?,https://www.ultimatelysocial.com/Dogs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dogs_icons&utm_medium=banner,See all dogs-themed-icons >
Love,"dating, cupid, relationship, relationships, couples, love","date, dates, heart, hearts","heartland, heartlands, heartburn, heartburns, braveheart, bravehearts, heartstone, heartstones, heartlakecity",You're a loving person?,https://www.ultimatelysocial.com/Love-themed-icons/?utm_source=any_settings_page&utm_campaign=Love_icons&utm_medium=banner,See all love-themed-icons >
,,,,,,
,,,,,,
Naturegardening,"environment, flora, flower, flowers, gardening, botany, sapling, saplings, greenpeace, fleurs, fleur, blossom","forest, forests, tree, trees, nature, garden, blooming","forestcity, gardenia, bloomington",Is your site about nature / gardening?,https://www.ultimatelysocial.com/Naturegardening-themed-icons/?utm_source=any_settings_page&utm_campaign=Naturegardening_icons&utm_medium=banner,See all nature-themed-icons >
,,,,,,
,,,,,,
finance,"investing, finance, invest, money, business, entrepreneur, marketing, accounting, accountant, trading, taxes, corporate","bank, banks, loan, loans, seo, tax","foodbank, riverbanks, riverbank, taxi, taxis",Is your site about money?,https://www.ultimatelysocial.com/finance-themed-icons/?utm_source=any_settings_page&utm_campaign=finance_icons&utm_medium=banner,See all money-themed-icons >
Sports,"football, soccer, sport, sporting, baseball, basketball, tennis, rugby, boxing, cricket, bodybuilding, fitness, workout, athletics, badminton, hockey, ","muscle, muscles, ski, cycling","musclecar, musclecars, grzybowski, lowinski, zaweski, sarnowski, basinski, horowski, lubanski, grabowski, kossowski, recycling, nightcycle, ",Is your site about sports?,https://www.ultimatelysocial.com/Sports-themed-icons/?utm_source=any_settings_page&utm_campaign=Sports_icons&utm_medium=banner,See all sports-themed-icons >
Automotives,"motorbikes, bike, truck, trucks, motors, automobile, automotive, automobiles, automotives, locomotive, locomotives, buses, trisikel, triciclo, biker, motociclismo, motociclista, motociclo, nissan, toyota, mitsubishi, ford, suzuki, fiat, moto, autovan","car, cars, ride, rides, auto, trains, bus, tires, tire, sedan, SUV, wheel, wheels, wheelz, audi, chopper, moped, van","carmen, carlo, carlos, carmela, carla, cartoon, carpet, carson, carpentry, carpenteer, carta, madagascar, ridere, automatick, automeritum, automation, buscando, bush, busk, tired, retired, busca, sedano, wheelchair, cartwheel, cartwheels, vanilla, evangelical, galavanting, vantage, vanguard, galvan, vanguardiana, vaniris, vandana",Is your site about automotives?,https://www.ultimatelysocial.com/Automotives-themed-icons/?utm_source=any_settings_page&utm_campaign=Automotives_icons&utm_medium=banner,See all automotives-themed-icons >
